Vecka,Måndag,,,Tisdag,,,Onsdag,,,Torsdag,,,Fredag,,,Lördag,,,Söndag,,,Övrig info & event,,Kurser       Lindy /Jazz,Tid och datum,Intresserade ledare,Kommentar,,
,Datum,kl. 18.00 - 20.00,kl. 20.00 -,Datum,kl. 18.15 - 19.45,kl. 20.00 - 21.30,Datum,kl. 18.15 - 19.45,kl. 20.00 - 21.30,Datum,kl. 18.15 - 19.45,kl. 20.00 - 21.30,Datum,kl. 18.30 - 20.00,kl. 20.00 - ,Datum,kl. 09.00 - 14.00,kl. 14.15 - 19.15,Datum,kl. 09.00 - 14.00,kl. 14.15 - 19.15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  *  = kan flyttas till lilla salen vid behov (om det är mindre antal anmälda och någon annan dans har fler anmälda) - Schemamöte mellan salerna 17 juni,,,,,,,,,,,,,,,,,,,,,,,Schemamöte + lindyledarutveckling tisdag 26 nov kl. 20.00 (deadline kursadmin 13 dec).,,,,,
,De lagda kurserna är endast förslag - kan flyttas runt vid behov (så länge inte alla FKA hamnar på samma veckodag t.ex.) både gällande vardagar och helg. T.ex. kan medel-kurserna också ges en helg istället för vardagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stora salen - HT24                                                              Stora salen - HT24                                                             Stora salen - HT24                                                  Stora salen - HT24,,,,,,,,,,,,,,,,,,,,,,,Lindy / Jazz kurser - HT24,,,,,
33,12 aug. ,x,Socialdans,13 aug.,x,x,14 aug.,x,x,15 aug.,x,x,16 aug.,,,17 aug.,x,x,18 aug.,x,x,,,GK 1,mån v.37-41 + helg v.36 (tidig),Robin + Lina,"ev Lina om ingen annan vill, men isf helst inte helgen",,
34,19 aug. ,x,Socialdans,20 aug.,x,x,21 aug.,x,x,22 aug.,x,x,23 aug.,(ev prova på blues),,24 aug.,x,x,25 aug.,x,x,,,GK 2 - ELEF?,mån v.42-46 + helg v.41 (sen),ev Oscar + förare/följare,,,
35,26 aug.,Öppet Hus i parken,Socialdans,27 aug.,x,x,28 aug.,x,x,29 aug.,x,x,30 aug.,,,31 aug.,Kulturkalas/ Öppet Hus,Kulturkalas/ Öppet Hus,01 sep.,x,x,,,GK 3,mån v.47-51 + helg v.46 (tidig),Robin + Lina,,,
36,02 sep. ,x,Socialdans,03 sep.,x,x,04 sep.,Boogie GK,M 1 *,05 sep.,LFT,FKA 1,06 sep.,SAW,SAW,07 sep.,GK 1 (10-15),,08 sep.,GK 1 (10-15),,,,GK4 ,ons (tidig) v 36-40 + helg v 37 (sen),Sebbe + följare?,OBS! Lilla salen,,
37,09 sep. ,GK 1,Socialdans,10 sep.,Bal,MA 1 ,11 sep.,Boogie GK,M 1 *,12 sep.,LFT,FKA 1,13 sep.,,,14 sep.,Solojazz FK,GK4 ,15 sep.,Solojazz FK,GK4 ,,,FKA 1,tors (sen) v. 36-40 + helg v.40 (sen),ev Oscar + följare (om ej GK2),,,
38,16 sep. ,GK 1,Socialdans,17 sep.,Bal ,MA 1 ,18 sep.,Boogie GK,M 1 *,19 sep.,LFT,FKA 1,20 sep.,QLF,QLF,21 sep.,QLF,QLF,22 sep.,QLF,QLF,Gbg Queer Lindy festival,,FKA 2,tis (tidig) v.42-46 + helg v.42 (tidig),Tove + Duncan,,,
39,23 sep. ,GK 1,Socialdans,24 sep.,Bal ,MA 1 ,25 sep.,Boogie GK,M 1 *,26 sep.,LFT,FKA 1,27 sep.,,,28 sep.,,,29 sep.,,,,,FKA 3,ons (tidig) v.46-50 + helg v. 48 (sen),Pär + Lou,,,
40,30 sep. ,GK 1,Socialdans,01 okt.,Bal ,MA 1 ,02 okt.,Boogie GK,M 1 *,03 okt.,LFT,FKA 1,04 okt.,SAW,SAW,05 okt.,,FKA 1,06 okt.,Blues GK 2 12-14.,FKA 1,,,FKB 1,utgår,x,utgår om ingen är intresserad - kursadmin tror att det ev är dåligt elevunderlag,,
41,07 okt. ,GK 1,Socialdans,08 okt.,,MA 1 ,09 okt.,M 2 *,FKB 2,10 okt.,LFT till 19:30,GK2 (19.30-21.30),11 okt.,,,12 okt.,GK2 (kl.10-15),GK 2,13 okt.,GK2 (kl.10-15),GK 2,,,FKB 2,ons (sen) v. 41-45 + helg v. 45,"Love och Åsa vardagar, Pär + Sofie helgen",,,
42,14 okt.,EV ersättningslektion BL-GK1 GK 2 - ELEF? ,Socialdans,15 okt.,FKA 2 ,M 3 *,16 okt.,M 2 *,FKB 2,17 okt.,LFT till 19:30,GK2 (19.30-21.30),18 okt.,SAW,SAW,19 okt.,FKA 2 ,,20 okt.,FKA 2 ,,,,FKB 3,tis (tidig) v.47-51 + helg v. 49 (tidig),Anne och Maria,,,
43,21 okt. ,GK 2,Socialdans,22 okt.,FKA 2,M 3 *,23 okt.,M 2 *,FKB 2,24 okt.,LFT till 19:30,GK2 (19.30-21.30),25 okt.,Kulturnatta,Kulturnatta,26 okt.,,,27 okt.,,,,,M 1 - tema *,ons (sen) v.36-40,Kalle & Freddie,Momentum & dansa tillsammans,, Medelteman: 
44,28 okt. ,GK 2,Socialdans,29 okt.,FKA 2,M 3 *,30 okt.,M 2 *,FKB 2,31 okt.,LFT till 19:30,GK2 (19.30-21.30),01 nov.,SAW,SAW,02 nov.,Balboa Workshop,11-15,03 nov.,Balboa WOrkshop,12-16,,,M 2 - tema *,ons (tidig) v. 41-45 ,Therese & Andrei,Musik & jazz,, Koreografi & Jam
45,04 nov. ,GK 2,Socialdans,05 nov.,FKA 2,M 3 *,06 nov.,M 2 *,FKB 2,07 nov.,LFT till 19:30,GK2 (19.30-21.30),08 nov.,,,09 nov.,FKB 2 (kl. 10-15),DP-kväll,10 nov.,DP-städ,FKB 2 (kl. 14-19),Dukes,,M 3 - tema *,tis (sen) v.42-26 (eller helg?),behövs förare och följare,Koreografi & Jam,, Musik & Jazz 
46,11 nov. ,GK 2,Socialdans,12 nov.,FKA 2,M 3 *,13 nov.,FKA 3,MA 2 *,14 nov.,LFT,M 4 *,15 nov.,SAW,SAW,16 nov.,GK 3,Solo GK,17 nov.,GK 3,Solo GK,,,M 4 - Tema *,tors (sen) v. 46-50 ,David + Therese + Hanna ,"Back 2 Basic - alternativt flytta fram en vecka så kan Hanna hela, från v. 47",, Back to basics 
47,18 nov.,GK 3,Socialdans,19 nov.,FKB 3,,20 nov.,FKA 3,MA 2 *,21 nov.,LFT,M 4 *,22 nov.,Uthyrd Svenska rytmsektionen,,23 nov.,Uthyrd Svenska rytmsektionen,,24 nov.,Uthyrd Svenska rytmsektionen,,,,MA 1 *,tis v.37-41 sen tid,Delad kurs 5 par ,"1. Mina+David, 2. Sebbe+Maja, 3. Tove+Duncan, 4. Oscar+Linnea, 5. Anne+ Maria",, Momentum & Dansa tillsammans
